accession,file_accession,target,dataset_description,replicate_libraries,replicate_antibody,controls,controlled_by,paired_end,paired_with,href,md5sum,fiji_file
ENCSR171CAY,ENCFF971CJJ,E2F7,E2F7 ChIP-seq on human K562,ENCLB673VPK,ENCAB260LTI,ENCSR658AGP,ENCFF368UOC,fastq_2,ENCFF928ZAS,/files/ENCFF971CJJ/@@download/ENCFF971CJJ.fastq.gz,8953543020745f11b7c3f75c562802e6,fastq/encode/ENCFF971CJJ.fastq.gz
ENCSR171CAY,ENCFF928ZAS,E2F7,E2F7 ChIP-seq on human K562,ENCLB673VPK,ENCAB260LTI,ENCSR658AGP,ENCFF410PHD,fastq_1,ENCFF971CJJ,/files/ENCFF928ZAS/@@download/ENCFF928ZAS.fastq.gz,435645c943c14592b0f782a5a8500404,fastq/encode/ENCFF928ZAS.fastq.gz
ENCSR171CAY,ENCFF584BPF,E2F7,E2F7 ChIP-seq on human K562,ENCLB499FII,ENCAB260LTI,ENCSR658AGP,ENCFF608MDV,fastq_2,ENCFF124KEV,/files/ENCFF584BPF/@@download/ENCFF584BPF.fastq.gz,1e30c68ada42c8c994a66fe7a728dddf,fastq/encode/ENCFF584BPF.fastq.gz
ENCSR173USI,ENCFF002EFF,Control,Control ChIP-seq on human K562,ENCLB783NHP,NA,NA,NA,fastq_1,ENCFF002EFH,/files/ENCFF002EFF/@@download/ENCFF002EFF.fastq.gz,f134e3f8efc0145cfefe40cdea67af9c,fastq/encode/ENCFF002EFF.fastq.gz
ENCSR173USI,ENCFF002EFH,Control,Control ChIP-seq on human K562,ENCLB783NHP,NA,NA,NA,fastq_2,ENCFF002EFF,/files/ENCFF002EFH/@@download/ENCFF002EFH.fastq.gz,dcc9561f57883de8991e0c1915cdc2fb,fastq/encode/ENCFF002EFH.fastq.gz
ENCSR173USI,ENCFF002EFA,Control,Control ChIP-seq on human K562,ENCLB359ZTD,NA,NA,NA,fastq_2,ENCFF002EFD,/files/ENCFF002EFA/@@download/ENCFF002EFA.fastq.gz,0ba87f432a924771a5be042a18ae8bec,fastq/encode/ENCFF002EFA.fastq.gz
ENCSR173USI,ENCFF002EFD,Control,Control ChIP-seq on human K562,ENCLB359ZTD,NA,NA,NA,fastq_1,ENCFF002EFA,/files/ENCFF002EFD/@@download/ENCFF002EFD.fastq.gz,0fba60a80a6093fd99b4152414c34d18,fastq/encode/ENCFF002EFD.fastq.gz
ENCSR175EOM,ENCFF173LQG,EHMT2,EHMT2 ChIP-seq on human K562,ENCLB911RON,ENCAB282XQE,ENCSR173USI,ENCFF002EFA,fastq_2,ENCFF611URC,/files/ENCFF173LQG/@@download/ENCFF173LQG.fastq.gz,c2125e6ea891ac6d9647aa496261eaa5,fastq/encode/ENCFF173LQG.fastq.gz
ENCSR175EOM,ENCFF611URC,EHMT2,EHMT2 ChIP-seq on human K562,ENCLB911RON,ENCAB282XQE,ENCSR173USI,ENCFF002EFD,fastq_1,ENCFF173LQG,/files/ENCFF611URC/@@download/ENCFF611URC.fastq.gz,1213fd94c3317d2cdd172d30f860813e,fastq/encode/ENCFF611URC.fastq.gz
ENCSR175EOM,ENCFF844OMR,EHMT2,EHMT2 ChIP-seq on human K562,ENCLB035POL,ENCAB282XQE,ENCSR173USI,ENCFF002EFH,fastq_2,ENCFF698YEB,/files/ENCFF844OMR/@@download/ENCFF844OMR.fastq.gz,afe31685d7de4e2e7ab14362dd8f684a,fastq/encode/ENCFF844OMR.fastq.gz
ENCSR175EOM,ENCFF698YEB,EHMT2,EHMT2 ChIP-seq on human K562,ENCLB035POL,ENCAB282XQE,ENCSR173USI,ENCFF002EFF,fastq_1,ENCFF844OMR,/files/ENCFF698YEB/@@download/ENCFF698YEB.fastq.gz,6a655935f0dd4c4ceb87189e49f433ff,fastq/encode/ENCFF698YEB.fastq.gz
ENCSR175SZH,ENCFF846BUV,ZSCAN29,ZSCAN29 ChIP-seq on human K562,ENCLB425FBF,ENCAB552CAO,ENCSR173USI,ENCFF002EFH,fastq_2,ENCFF959OBE,/files/ENCFF846BUV/@@download/ENCFF846BUV.fastq.gz,61ff0400cc4b232197d255e48e3dc069,fastq/encode/ENCFF846BUV.fastq.gz
ENCSR175SZH,ENCFF368UTN,ZSCAN29,ZSCAN29 ChIP-seq on human K562,ENCLB217HKQ,ENCAB552CAO,ENCSR173USI,ENCFF002EFD,fastq_1,ENCFF025FSC,/files/ENCFF368UTN/@@download/ENCFF368UTN.fastq.gz,c62d94961ca5e88fffc70c346fd382cf,fastq/encode/ENCFF368UTN.fastq.gz
ENCSR175SZH,ENCFF025FSC,ZSCAN29,ZSCAN29 ChIP-seq on human K562,ENCLB217HKQ,ENCAB552CAO,ENCSR173USI,ENCFF002EFA,fastq_2,ENCFF368UTN,/files/ENCFF025FSC/@@download/ENCFF025FSC.fastq.gz,a62db6b75cc2d07bda173f3e635c7def,fastq/encode/ENCFF025FSC.fastq.gz
ENCSR175SZH,ENCFF959OBE,ZSCAN29,ZSCAN29 ChIP-seq on human K562,ENCLB425FBF,ENCAB552CAO,ENCSR173USI,ENCFF002EFF,fastq_1,ENCFF846BUV,/files/ENCFF959OBE/@@download/ENCFF959OBE.fastq.gz,f0cbb595cb4a7afa71885d12a2e9c560,fastq/encode/ENCFF959OBE.fastq.gz
ENCSR176UHI,ENCFF768JTI,Control,ChIP-seq on human K562,ENCLB766EJE,NA,NA,NA,fastq_2,ENCFF725WQM,/files/ENCFF768JTI/@@download/ENCFF768JTI.fastq.gz,ecbae1a6eeab75768cb285d1e64d28a1,fastq/encode/ENCFF768JTI.fastq.gz
ENCSR176UHI,ENCFF725WQM,Control,ChIP-seq on human K562,ENCLB766EJE,NA,NA,NA,fastq_1,ENCFF768JTI,/files/ENCFF725WQM/@@download/ENCFF725WQM.fastq.gz,e0373da17ee910fb12205461225112f7,fastq/encode/ENCFF725WQM.fastq.gz
ENCSR177XCS,ENCFF700CIV,BRD9,BRD9 ChIP-seq on human K562,ENCLB268BCD,ENCAB307OWA,ENCSR554FDZ,ENCFF002EFF,fastq_1,ENCFF872XVD,/files/ENCFF700CIV/@@download/ENCFF700CIV.fastq.gz,43693f19c6fb5507ffa367f30ba2c503,fastq/encode/ENCFF700CIV.fastq.gz
ENCSR177XCS,ENCFF373VRZ,BRD9,BRD9 ChIP-seq on human K562,ENCLB052OCB,ENCAB307OWA,ENCSR554FDZ,ENCFF002EFD,fastq_1,ENCFF539YNG,/files/ENCFF373VRZ/@@download/ENCFF373VRZ.fastq.gz,62909d16069d4939df16bf25d8c1d10f,fastq/encode/ENCFF373VRZ.fastq.gz
ENCSR177XCS,ENCFF872XVD,BRD9,BRD9 ChIP-seq on human K562,ENCLB268BCD,ENCAB307OWA,ENCSR554FDZ,ENCFF002EFH,fastq_2,ENCFF700CIV,/files/ENCFF872XVD/@@download/ENCFF872XVD.fastq.gz,b921c474256a64458c26538378e75ce1,fastq/encode/ENCFF872XVD.fastq.gz
ENCSR177XCS,ENCFF539YNG,BRD9,BRD9 ChIP-seq on human K562,ENCLB052OCB,ENCAB307OWA,ENCSR554FDZ,ENCFF002EFA,fastq_2,ENCFF373VRZ,/files/ENCFF539YNG/@@download/ENCFF539YNG.fastq.gz,0532a6f938308915a48c5b58fdb8f8fa,fastq/encode/ENCFF539YNG.fastq.gz
ENCSR178DEG,ENCFF621NBR,eGFP-NR2C1,eGFP-NR2C1 ChIP-seq on human K562,ENCLB152UJT,ENCAB728YTO,ENCSR176UHI,ENCFF725WQM,fastq_1,ENCFF230HNM,/files/ENCFF621NBR/@@download/ENCFF621NBR.fastq.gz,e6a58c5dd40cf6ac64512b1bf89bcbff,fastq/encode/ENCFF621NBR.fastq.gz
ENCSR178DEG,ENCFF230HNM,eGFP-NR2C1,eGFP-NR2C1 ChIP-seq on human K562,ENCLB152UJT,ENCAB728YTO,ENCSR176UHI,ENCFF768JTI,fastq_2,ENCFF621NBR,/files/ENCFF230HNM/@@download/ENCFF230HNM.fastq.gz,81bf40db506d5269661d6c9512446ee5,fastq/encode/ENCFF230HNM.fastq.gz
ENCSR178DEG,ENCFF096VXL,eGFP-NR2C1,eGFP-NR2C1 ChIP-seq on human K562,ENCLB755WMD,ENCAB728YTO,ENCSR176UHI,ENCFF768JTI,fastq_2,ENCFF960ZID,/files/ENCFF096VXL/@@download/ENCFF096VXL.fastq.gz,fb4a71ea7b7242813122a2330c940f64,fastq/encode/ENCFF096VXL.fastq.gz
ENCSR178DEG,ENCFF960ZID,eGFP-NR2C1,eGFP-NR2C1 ChIP-seq on human K562,ENCLB755WMD,ENCAB728YTO,ENCSR176UHI,ENCFF725WQM,fastq_1,ENCFF096VXL,/files/ENCFF960ZID/@@download/ENCFF960ZID.fastq.gz,b59b83dd77cb12d5c9506909db721bcc,fastq/encode/ENCFF960ZID.fastq.gz
ENCSR189TRZ,ENCFF007HDS,TCF12,TCF12 ChIP-seq on human K562,ENCLB547ZUO,ENCAB521XDP,ENCSR173USI,ENCFF002EFD,fastq_1,ENCFF873EXA,/files/ENCFF007HDS/@@download/ENCFF007HDS.fastq.gz,3f6fe9685d0e95fb05cf5ebdba48b681,fastq/encode/ENCFF007HDS.fastq.gz
ENCSR189TRZ,ENCFF043MCW,TCF12,TCF12 ChIP-seq on human K562,ENCLB631MXP,ENCAB521XDP,ENCSR173USI,ENCFF002EFF,fastq_1,ENCFF520WVU,/files/ENCFF043MCW/@@download/ENCFF043MCW.fastq.gz,b766d5693bd99650bede659a49e0a928,fastq/encode/ENCFF043MCW.fastq.gz
ENCSR189TRZ,ENCFF873EXA,TCF12,TCF12 ChIP-seq on human K562,ENCLB547ZUO,ENCAB521XDP,ENCSR173USI,ENCFF002EFA,fastq_2,ENCFF007HDS,/files/ENCFF873EXA/@@download/ENCFF873EXA.fastq.gz,230256efb9103d343104eadac88430ac,fastq/encode/ENCFF873EXA.fastq.gz
ENCSR189TRZ,ENCFF520WVU,TCF12,TCF12 ChIP-seq on human K562,ENCLB631MXP,ENCAB521XDP,ENCSR173USI,ENCFF002EFH,fastq_2,ENCFF043MCW,/files/ENCFF520WVU/@@download/ENCFF520WVU.fastq.gz,c63c73967f97415755fd89d34e137395,fastq/encode/ENCFF520WVU.fastq.gz
ENCSR189VXS,ENCFF784TRG,GTF2F1,GTF2F1 ChIP-seq on human K562,ENCLB195YWR,ENCAB320AVC,ENCSR658AGP,ENCFF410PHD,fastq_1,ENCFF055CQR,/files/ENCFF784TRG/@@download/ENCFF784TRG.fastq.gz,62f884d82f5ab03791d2b0bd24802864,fastq/encode/ENCFF784TRG.fastq.gz
ENCSR189VXS,ENCFF909TZW,GTF2F1,GTF2F1 ChIP-seq on human K562,ENCLB155JFV,ENCAB320AVC,ENCSR658AGP,ENCFF240DTE,fastq_1,ENCFF999MLQ,/files/ENCFF909TZW/@@download/ENCFF909TZW.fastq.gz,9f990a70175dcc71a73d97f5b1890e6f,fastq/encode/ENCFF909TZW.fastq.gz
ENCSR189VXS,ENCFF999MLQ,GTF2F1,GTF2F1 ChIP-seq on human K562,ENCLB155JFV,ENCAB320AVC,ENCSR658AGP,ENCFF608MDV,fastq_2,ENCFF909TZW,/files/ENCFF999MLQ/@@download/ENCFF999MLQ.fastq.gz,f862d7e1af13ac9c2783ccc8b0675dd2,fastq/encode/ENCFF999MLQ.fastq.gz
ENCSR189VXS,ENCFF055CQR,GTF2F1,GTF2F1 ChIP-seq on human K562,ENCLB195YWR,ENCAB320AVC,ENCSR658AGP,ENCFF368UOC,fastq_2,ENCFF784TRG,/files/ENCFF055CQR/@@download/ENCFF055CQR.fastq.gz,574d762aeaff9e2a9a1ec4668292afcb,fastq/encode/ENCFF055CQR.fastq.gz
ENCSR197ALX,ENCFF513AFY,HDGF,HDGF ChIP-seq on human K562,ENCLB004BGH,ENCAB173GGB,ENCSR554FDZ,ENCFF002EFF,fastq_1,ENCFF256BLE,/files/ENCFF513AFY/@@download/ENCFF513AFY.fastq.gz,94818cffe6c93f4180b19c8d67dd5fe1,fastq/encode/ENCFF513AFY.fastq.gz
ENCSR197ALX,ENCFF302OWI,HDGF,HDGF ChIP-seq on human K562,ENCLB562GOJ,ENCAB173GGB,ENCSR554FDZ,ENCFF002EFA,fastq_2,ENCFF112IGA,/files/ENCFF302OWI/@@download/ENCFF302OWI.fastq.gz,ae246d33423afc810e7e73d964979f81,fastq/encode/ENCFF302OWI.fastq.gz
ENCSR197ALX,ENCFF256BLE,HDGF,HDGF ChIP-seq on human K562,ENCLB004BGH,ENCAB173GGB,ENCSR554FDZ,ENCFF002EFH,fastq_2,ENCFF513AFY,/files/ENCFF256BLE/@@download/ENCFF256BLE.fastq.gz,df40de2b47e04c2a0766328c3fa45429,fastq/encode/ENCFF256BLE.fastq.gz
ENCSR197ALX,ENCFF112IGA,HDGF,HDGF ChIP-seq on human K562,ENCLB562GOJ,ENCAB173GGB,ENCSR554FDZ,ENCFF002EFD,fastq_1,ENCFF302OWI,/files/ENCFF112IGA/@@download/ENCFF112IGA.fastq.gz,7e4063348d974033489ed29e4b70516d,fastq/encode/ENCFF112IGA.fastq.gz
ENCSR198KYG,ENCFF769QGP,Control,Input control ChIP-seq on human eGFP-TAF7 tagged K562 cell line.,ENCLB089NIL,NA,NA,NA,fastq_2,ENCFF860YMH,/files/ENCFF769QGP/@@download/ENCFF769QGP.fastq.gz,bc7a4e968e43bf6dc963849b8298c5c6,fastq/encode/ENCFF769QGP.fastq.gz
ENCSR198KYG,ENCFF860YMH,Control,Input control ChIP-seq on human eGFP-TAF7 tagged K562 cell line.,ENCLB089NIL,NA,NA,NA,fastq_1,ENCFF769QGP,/files/ENCFF860YMH/@@download/ENCFF860YMH.fastq.gz,09c2c8eed5a92f505c56d534e03647ea,fastq/encode/ENCFF860YMH.fastq.gz
ENCSR200JYP,ENCFF890FRG,ZNF316,ZNF316 ChIP-seq on human K562,ENCLB320WIE,ENCAB362XEV,ENCSR632PAG,ENCFF502GTS,fastq_2,ENCFF121HAM,/files/ENCFF890FRG/@@download/ENCFF890FRG.fastq.gz,4fbd2e4e8be49508b46328cf96e28b4c,fastq/encode/ENCFF890FRG.fastq.gz
ENCSR200JYP,ENCFF121HAM,ZNF316,ZNF316 ChIP-seq on human K562,ENCLB320WIE,ENCAB362XEV,ENCSR632PAG,ENCFF498JMO,fastq_1,ENCFF890FRG,/files/ENCFF121HAM/@@download/ENCFF121HAM.fastq.gz,ec886a521b10fd56341039d81ca137b3,fastq/encode/ENCFF121HAM.fastq.gz
ENCSR200JYP,ENCFF308CZX,ZNF316,ZNF316 ChIP-seq on human K562,ENCLB822CTA,ENCAB362XEV,ENCSR632PAG,ENCFF259GQA,fastq_1,ENCFF786NXV,/files/ENCFF308CZX/@@download/ENCFF308CZX.fastq.gz,cf605dca633ffef4a0d938ccc6eecb5a,fastq/encode/ENCFF308CZX.fastq.gz
ENCSR200JYP,ENCFF786NXV,ZNF316,ZNF316 ChIP-seq on human K562,ENCLB822CTA,ENCAB362XEV,ENCSR632PAG,ENCFF837MIV,fastq_2,ENCFF308CZX,/files/ENCFF786NXV/@@download/ENCFF786NXV.fastq.gz,1e6c0430b58716d689cfae59270dad1f,fastq/encode/ENCFF786NXV.fastq.gz
ENCSR201NQZ,ENCFF829YQD,CTBP1,CTBP1 ChIP-seq on human K562,ENCLB774PTZ,ENCAB000BAY,ENCSR554FDZ,ENCFF002EFF,fastq_1,ENCFF077DIB,/files/ENCFF829YQD/@@download/ENCFF829YQD.fastq.gz,8f3d5e2a3005805148108228100d24cc,fastq/encode/ENCFF829YQD.fastq.gz
ENCSR201NQZ,ENCFF077DIB,CTBP1,CTBP1 ChIP-seq on human K562,ENCLB774PTZ,ENCAB000BAY,ENCSR554FDZ,ENCFF002EFH,fastq_2,ENCFF829YQD,/files/ENCFF077DIB/@@download/ENCFF077DIB.fastq.gz,1cbaccd075c76af8d819aea8e97e8112,fastq/encode/ENCFF077DIB.fastq.gz
ENCSR201NQZ,ENCFF034WZZ,CTBP1,CTBP1 ChIP-seq on human K562,ENCLB493DRJ,ENCAB000BAY,ENCSR554FDZ,ENCFF002EFD,fastq_1,ENCFF350AMO,/files/ENCFF034WZZ/@@download/ENCFF034WZZ.fastq.gz,199cf2598eeeecc1ad7d0ffc90986dd1,fastq/encode/ENCFF034WZZ.fastq.gz
ENCSR201NQZ,ENCFF350AMO,CTBP1,CTBP1 ChIP-seq on human K562,ENCLB493DRJ,ENCAB000BAY,ENCSR554FDZ,ENCFF002EFA,fastq_2,ENCFF034WZZ,/files/ENCFF350AMO/@@download/ENCFF350AMO.fastq.gz,ea631687971b3eee7aa578a4d36c700e,fastq/encode/ENCFF350AMO.fastq.gz
ENCSR209YCR,ENCFF406XFM,Control,Input control ChIP-seq on human eGFP-ZNF740 tagged K562 cell line.,ENCLB395VPY,NA,NA,ENCFF839JCV,fastq_1,ENCFF055UND,/files/ENCFF406XFM/@@download/ENCFF406XFM.fastq.gz,3938abfedc296fc0394ffe094dae12b7,fastq/encode/ENCFF406XFM.fastq.gz
ENCSR209YCR,ENCFF055UND,Control,Input control ChIP-seq on human eGFP-ZNF740 tagged K562 cell line.,ENCLB395VPY,NA,NA,ENCFF839JCV,fastq_2,ENCFF406XFM,/files/ENCFF055UND/@@download/ENCFF055UND.fastq.gz,66e0e81f2bf7d7fbc3c8f8f7c81b951a,fastq/encode/ENCFF055UND.fastq.gz
ENCSR211LTF,ENCFF326BXX,EGR1,EGR1 ChIP-seq on human K562,ENCLB999MQA,ENCAB899PTZ,ENCSR173USI,ENCFF002EFF,fastq_1,ENCFF207NIS,/files/ENCFF326BXX/@@download/ENCFF326BXX.fastq.gz,e5bf0447af1c57e80086cc6ceb50ec72,fastq/encode/ENCFF326BXX.fastq.gz
ENCSR211LTF,ENCFF207NIS,EGR1,EGR1 ChIP-seq on human K562,ENCLB999MQA,ENCAB899PTZ,ENCSR173USI,ENCFF002EFH,fastq_2,ENCFF326BXX,/files/ENCFF207NIS/@@download/ENCFF207NIS.fastq.gz,45953fbfc1d33d0a5162554f95cf3697,fastq/encode/ENCFF207NIS.fastq.gz
ENCSR211LTF,ENCFF599IKS,EGR1,EGR1 ChIP-seq on human K562,ENCLB012WJS,ENCAB899PTZ,ENCSR173USI,ENCFF002EFA,fastq_2,ENCFF217XOV,/files/ENCFF599IKS/@@download/ENCFF599IKS.fastq.gz,7feb78134bb937e9b477f981e2b60b78,fastq/encode/ENCFF599IKS.fastq.gz
ENCSR211LTF,ENCFF217XOV,EGR1,EGR1 ChIP-seq on human K562,ENCLB012WJS,ENCAB899PTZ,ENCSR173USI,ENCFF002EFD,fastq_1,ENCFF599IKS,/files/ENCFF217XOV/@@download/ENCFF217XOV.fastq.gz,a57332b0115cc3d949742b87f10bfec0,fastq/encode/ENCFF217XOV.fastq.gz
ENCSR213HBY,ENCFF011GIB,TOE1,TOE1 ChIP-seq on human K562,ENCLB811RXM,ENCAB755SML,ENCSR632PAG,ENCFF837MIV,fastq_2,ENCFF640ZCM,/files/ENCFF011GIB/@@download/ENCFF011GIB.fastq.gz,a0a94a033a074044d8502eda3ac8db5a,fastq/encode/ENCFF011GIB.fastq.gz
ENCSR213HBY,ENCFF640ZCM,TOE1,TOE1 ChIP-seq on human K562,ENCLB811RXM,ENCAB755SML,ENCSR632PAG,ENCFF259GQA,fastq_1,ENCFF011GIB,/files/ENCFF640ZCM/@@download/ENCFF640ZCM.fastq.gz,a7120d526384e0deebbbb3c13a0ce2eb,fastq/encode/ENCFF640ZCM.fastq.gz
ENCSR213HBY,ENCFF738RCP,TOE1,TOE1 ChIP-seq on human K562,ENCLB963MXU,ENCAB755SML,ENCSR632PAG,ENCFF502GTS,fastq_2,ENCFF831SWK,/files/ENCFF738RCP/@@download/ENCFF738RCP.fastq.gz,f3fe3c7b07e34cbc3f5b65a20ca0a749,fastq/encode/ENCFF738RCP.fastq.gz
ENCSR213HBY,ENCFF831SWK,TOE1,TOE1 ChIP-seq on human K562,ENCLB963MXU,ENCAB755SML,ENCSR632PAG,ENCFF498JMO,fastq_1,ENCFF738RCP,/files/ENCFF831SWK/@@download/ENCFF831SWK.fastq.gz,4d7fe747834dd2d49d503088f3e73150,fastq/encode/ENCFF831SWK.fastq.gz
ENCSR213VUI,ENCFF082ZXS,TRIM25,TRIM25 ChIP-seq on human K562,ENCLB609TDY,ENCAB562YGS,ENCSR173USI,ENCFF002EFH,fastq_2,ENCFF133ABT,/files/ENCFF082ZXS/@@download/ENCFF082ZXS.fastq.gz,569a3eb171dacd7add974c09cef66a77,fastq/encode/ENCFF082ZXS.fastq.gz
ENCSR213VUI,ENCFF973JII,TRIM25,TRIM25 ChIP-seq on human K562,ENCLB502JVC,ENCAB562YGS,ENCSR173USI,ENCFF002EFF,fastq_1,ENCFF553CSZ,/files/ENCFF973JII/@@download/ENCFF973JII.fastq.gz,9de579540b7fb75f801a54e4b358abf9,fastq/encode/ENCFF973JII.fastq.gz
ENCSR213VUI,ENCFF553CSZ,TRIM25,TRIM25 ChIP-seq on human K562,ENCLB502JVC,ENCAB562YGS,ENCSR173USI,ENCFF002EFH,fastq_2,ENCFF973JII,/files/ENCFF553CSZ/@@download/ENCFF553CSZ.fastq.gz,65052fbc5e27d7e4f502b319868f937e,fastq/encode/ENCFF553CSZ.fastq.gz
ENCSR213VUI,ENCFF133ABT,TRIM25,TRIM25 ChIP-seq on human K562,ENCLB609TDY,ENCAB562YGS,ENCSR173USI,ENCFF002EFF,fastq_1,ENCFF082ZXS,/files/ENCFF133ABT/@@download/ENCFF133ABT.fastq.gz,fd1bcbd41912399669b32ba2c571a4bd,fastq/encode/ENCFF133ABT.fastq.gz
ENCSR219BXP,ENCFF469EAQ,DPF2,DPF2 ChIP-seq on human K562,ENCLB892ZMY,ENCAB384ZPY,ENCSR554FDZ,ENCFF002EFH,fastq_2,ENCFF820AHB,/files/ENCFF469EAQ/@@download/ENCFF469EAQ.fastq.gz,658b5f43475b8bbfa9a49ab179e2d4c6,fastq/encode/ENCFF469EAQ.fastq.gz
ENCSR219BXP,ENCFF820AHB,DPF2,DPF2 ChIP-seq on human K562,ENCLB892ZMY,ENCAB384ZPY,ENCSR554FDZ,ENCFF002EFF,fastq_1,ENCFF469EAQ,/files/ENCFF820AHB/@@download/ENCFF820AHB.fastq.gz,ab4b97c043d0cc61141755c049d1d515,fastq/encode/ENCFF820AHB.fastq.gz
ENCSR219BXP,ENCFF245SAZ,DPF2,DPF2 ChIP-seq on human K562,ENCLB727OEK,ENCAB384ZPY,ENCSR554FDZ,ENCFF002EFA,fastq_2,ENCFF952UEN,/files/ENCFF245SAZ/@@download/ENCFF245SAZ.fastq.gz,58240827d963d3c2d7c00a5ab5c8f4a5,fastq/encode/ENCFF245SAZ.fastq.gz
ENCSR219BXP,ENCFF952UEN,DPF2,DPF2 ChIP-seq on human K562,ENCLB727OEK,ENCAB384ZPY,ENCSR554FDZ,ENCFF002EFD,fastq_1,ENCFF245SAZ,/files/ENCFF952UEN/@@download/ENCFF952UEN.fastq.gz,763d5b4efbd1c0a8ccf29cf977e5dfa2,fastq/encode/ENCFF952UEN.fastq.gz
ENCSR223MLH,ENCFF231TGV,BRCA1,BRCA1 ChIP-seq on human K562,ENCLB024FCM,ENCAB125OWA,ENCSR632PAG,ENCFF502GTS,fastq_2,ENCFF276RGL,/files/ENCFF231TGV/@@download/ENCFF231TGV.fastq.gz,000deb751bef15e47400877e17d3534f,fastq/encode/ENCFF231TGV.fastq.gz
ENCSR223MLH,ENCFF805AVF,BRCA1,BRCA1 ChIP-seq on human K562,ENCLB342MDN,ENCAB125OWA,ENCSR632PAG,ENCFF837MIV,fastq_2,ENCFF576EVC,/files/ENCFF805AVF/@@download/ENCFF805AVF.fastq.gz,8061cfe2e0da160de30acb8ecee2541b,fastq/encode/ENCFF805AVF.fastq.gz
ENCSR223MLH,ENCFF276RGL,BRCA1,BRCA1 ChIP-seq on human K562,ENCLB024FCM,ENCAB125OWA,ENCSR632PAG,ENCFF498JMO,fastq_1,ENCFF231TGV,/files/ENCFF276RGL/@@download/ENCFF276RGL.fastq.gz,b54e04eb62ca7067f55a927fc1007a7b,fastq/encode/ENCFF276RGL.fastq.gz
ENCSR223MLH,ENCFF576EVC,BRCA1,BRCA1 ChIP-seq on human K562,ENCLB342MDN,ENCAB125OWA,ENCSR632PAG,ENCFF259GQA,fastq_1,ENCFF805AVF,/files/ENCFF576EVC/@@download/ENCFF576EVC.fastq.gz,87980fc8d4b5be18a4585f33e6309523,fastq/encode/ENCFF576EVC.fastq.gz
ENCSR230PTV,ENCFF796XXQ,ZBTB2,ZBTB2 ChIP-seq on human K562,ENCLB314ILV,ENCAB543JMP,ENCSR173USI,ENCFF002EFD,fastq_1,ENCFF920GKJ,/files/ENCFF796XXQ/@@download/ENCFF796XXQ.fastq.gz,f66c96b9bed280a40f377945ba99e195,fastq/encode/ENCFF796XXQ.fastq.gz
ENCSR230PTV,ENCFF839NSQ,ZBTB2,ZBTB2 ChIP-seq on human K562,ENCLB585GFN,ENCAB543JMP,ENCSR173USI,ENCFF002EFH,fastq_2,ENCFF223BRR,/files/ENCFF839NSQ/@@download/ENCFF839NSQ.fastq.gz,5a6b044a35627790795f45a6bede2d5b,fastq/encode/ENCFF839NSQ.fastq.gz
ENCSR230PTV,ENCFF223BRR,ZBTB2,ZBTB2 ChIP-seq on human K562,ENCLB585GFN,ENCAB543JMP,ENCSR173USI,ENCFF002EFF,fastq_1,ENCFF839NSQ,/files/ENCFF223BRR/@@download/ENCFF223BRR.fastq.gz,1962bd9362f4c524fdb8ed4e16ad003b,fastq/encode/ENCFF223BRR.fastq.gz
ENCSR230PTV,ENCFF920GKJ,ZBTB2,ZBTB2 ChIP-seq on human K562,ENCLB314ILV,ENCAB543JMP,ENCSR173USI,ENCFF002EFA,fastq_2,ENCFF796XXQ,/files/ENCFF920GKJ/@@download/ENCFF920GKJ.fastq.gz,3025002ed12d81769af60970550df16b,fastq/encode/ENCFF920GKJ.fastq.gz
ENCSR237VLT,ENCFF297TMP,ZBTB40,ZBTB40 ChIP-seq on human K562,ENCLB215DSK,ENCAB373DVF,ENCSR554FDZ,ENCFF002EFH,fastq_2,ENCFF673KNX,/files/ENCFF297TMP/@@download/ENCFF297TMP.fastq.gz,e1566c4ecb122bf7b642fe1dfcc21b09,fastq/encode/ENCFF297TMP.fastq.gz
ENCSR237VLT,ENCFF520UHF,ZBTB40,ZBTB40 ChIP-seq on human K562,ENCLB908SMN,ENCAB373DVF,ENCSR554FDZ,ENCFF002EFD,fastq_1,ENCFF687MII,/files/ENCFF520UHF/@@download/ENCFF520UHF.fastq.gz,7dfb87cd7a0029b38ec98c1f594edbc8,fastq/encode/ENCFF520UHF.fastq.gz
ENCSR237VLT,ENCFF673KNX,ZBTB40,ZBTB40 ChIP-seq on human K562,ENCLB215DSK,ENCAB373DVF,ENCSR554FDZ,ENCFF002EFF,fastq_1,ENCFF297TMP,/files/ENCFF673KNX/@@download/ENCFF673KNX.fastq.gz,fbfd40d2f00b76c5200bb3e9796abf74,fastq/encode/ENCFF673KNX.fastq.gz
ENCSR237VLT,ENCFF687MII,ZBTB40,ZBTB40 ChIP-seq on human K562,ENCLB908SMN,ENCAB373DVF,ENCSR554FDZ,ENCFF002EFA,fastq_2,ENCFF520UHF,/files/ENCFF687MII/@@download/ENCFF687MII.fastq.gz,cb8a5a153a1640a7b34bd932eb163fdf,fastq/encode/ENCFF687MII.fastq.gz
ENCSR241LIH,ENCFF267LVE,AFF1,AFF1 ChIP-seq on human K562,ENCLB092EUT,ENCAB965DCO,ENCSR173USI,ENCFF002EFA,fastq_2,ENCFF452EKB,/files/ENCFF267LVE/@@download/ENCFF267LVE.fastq.gz,ae04b4e8b7f7be0ba26a236513e909c5,fastq/encode/ENCFF267LVE.fastq.gz
